trade_id,system_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,gross_pips,spread_at_entry,net_pips,pnl_usd,spread_cost_usd,signal_candle_datetime,signal_candle_body_pips,signal_candle_range_pips,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,position_units,hour_utc,day_of_week,session_range_at_entry,compression_range_pips,three_candle_total_pips,equity_after,drawdown_usd,drawdown_pct
3847,2,2025-06-10 00:02:00+00:00,2025-06-10 00:03:00+00:00,short,144.628,144.59799999999998,144.678,144.59799999999998,TP hit,3.0000000000001137,2.000000000001023,0.9999999999990905,6.914290455507167,13.828580911033988,2025-06-10 00:01:00+00:00,4.79999999999734,4.79999999999734,4.999999999998295,1.300000000000523,1.0,1.0,100000,0,Tuesday,,,7.699999999996976,51434.40864886957,48518.2003327894,48.54120450391881
3848,2,2025-06-10 00:17:00+00:00,2025-06-10 00:21:00+00:00,long,144.455,144.405,144.405,144.485,SL hit,-5.000000000001137,1.8000000000000682,-6.800000000001205,-47.07348309162857,12.46062787719406,2025-06-10 00:16:00+00:00,0.9000000000014552,2.4999999999977263,1.2999999999976808,5.100000000001614,2.0,4.0,100000,0,Tuesday,,,8.899999999999864,51387.33516577794,48565.273815881024,48.58830030619073
3849,2,2025-06-10 00:34:00+00:00,2025-06-10 00:38:00+00:00,short,144.48,144.53,144.53,144.45,SL hit,-5.000000000001137,1.4999999999986358,-6.499999999999773,-44.98892580287772,10.382059800655009,2025-06-10 00:33:00+00:00,0.9999999999990905,2.400000000000091,0.7999999999981355,6.400000000002137,2.0,4.0,100000,0,Tuesday,,,7.599999999999341,51342.346239975064,48610.2627416839,48.633310562812575
3850,2,2025-06-10 00:55:00+00:00,2025-06-10 00:56:00+00:00,short,144.644,144.614,144.69400000000002,144.614,TP hit,3.0000000000001137,1.6000000000019554,1.3999999999981583,9.6789358701236,11.061640994455043,2025-06-10 00:54:00+00:00,7.400000000001228,10.200000000000387,5.299999999999727,0.0,1.0,1.0,100000,0,Tuesday,,,9.800000000001319,51352.025175845185,48600.58380581378,48.62362703782135
3851,2,2025-06-10 01:12:00+00:00,2025-06-10 01:13:00+00:00,short,144.514,144.56400000000002,144.56400000000002,144.484,SL hit,-5.000000000001137,1.9000000000005457,-6.900000000001683,-47.74623911871294,13.147515119646163,2025-06-10 01:11:00+00:00,1.6999999999995907,2.400000000000091,0.0,7.599999999999341,,1.0,100000,1,Tuesday,,,5.700000000001637,51304.27893672647,48648.330044932496,48.67139591509746
3852,2,2025-06-10 01:26:00+00:00,2025-06-10 01:27:00+00:00,short,144.682,144.732,144.732,144.652,SL hit,-5.000000000001137,1.700000000002433,-6.70000000000357,-46.30845578581697,11.749906691934264,2025-06-10 01:25:00+00:00,9.999999999999432,11.39999999999759,0.0,7.400000000001228,,1.0,100000,1,Tuesday,,,13.699999999997203,51257.970480940654,48694.63850071831,48.71772632733744
3853,2,2025-06-10 01:37:00+00:00,2025-06-10 01:38:00+00:00,short,144.79,144.84,144.84,144.76,SL hit,-5.000000000001137,1.700000000002433,-6.70000000000357,-46.27391394435783,11.74114234410134,2025-06-10 01:36:00+00:00,3.2000000000010687,4.099999999999682,0.0,10.599999999999454,,1.0,100000,1,Tuesday,,,4.900000000000659,51211.696566996296,48740.91241466267,48.76402218135846
3854,2,2025-06-10 02:01:00+00:00,2025-06-10 02:02:00+00:00,short,145.22,145.19,145.27,145.19,TP hit,3.0000000000001137,1.500000000001478,1.4999999999986358,10.32915576365952,10.329155763679093,2025-06-10 02:00:00+00:00,20.79999999999984,24.899999999999523,6.000000000000227,0.0,1.0,1.0,100000,2,Tuesday,,,22.8999999999985,51222.02572275996,48730.58325889901,48.753688128181764
3855,2,2025-06-11 00:22:00+00:00,2025-06-11 00:23:00+00:00,long,144.738,144.688,144.688,144.768,SL hit,-5.000000000001137,1.8000000000000682,-6.800000000001205,-46.98144233028786,12.436264146250938,2025-06-11 00:21:00+00:00,3.100000000000591,3.6000000000001364,0.0,5.699999999998795,,1.0,100000,0,Wednesday,,,8.70000000000175,51175.04428042967,48777.5647012293,48.800691846052615
3856,2,2025-06-11 00:32:00+00:00,2025-06-11 00:33:00+00:00,long,144.76,144.79,144.70999999999998,144.79,TP hit,3.0000000000001137,2.0999999999986585,0.9000000000014552,6.217187068260951,14.506769825909496,2025-06-11 00:31:00+00:00,2.5000000000005684,4.800000000000182,4.600000000002069,0.0,1.0,1.0,100000,0,Wednesday,,,5.900000000002592,51181.26146749793,48771.34751416104,48.79447171119911
3857,2,2025-06-11 00:44:00+00:00,2025-06-11 00:45:00+00:00,short,144.843,144.813,144.893,144.813,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,8.975235254727691,11.736846102328665,2025-06-11 00:43:00+00:00,2.2999999999996135,4.699999999999704,4.2999999999977945,0.0,1.0,1.0,100000,0,Wednesday,,,8.099999999998886,51190.236702752656,48762.37227890631,48.78549222047228
3858,2,2025-06-11 00:55:00+00:00,2025-06-11 01:00:00+00:00,short,144.89,144.94,144.94,144.85999999999999,SL hit,-5.000000000001137,1.300000000000523,-6.30000000000166,-43.48126164677797,8.972323831876064,2025-06-11 00:54:00+00:00,5.19999999999925,7.399999999998386,2.2999999999996135,6.60000000000025,3.0,5.0,100000,0,Wednesday,,,12.699999999998113,51146.75544110588,48805.853540553086,48.82899409810186
3859,2,2025-06-11 01:13:00+00:00,2025-06-11 01:14:00+00:00,short,144.972,144.942,145.02200000000002,144.942,TP hit,3.0000000000001137,1.9000000000005457,1.099999999999568,7.587672102196065,13.105979085620296,2025-06-11 01:12:00+00:00,6.30000000000166,10.099999999999909,3.6000000000001364,0.0,1.0,1.0,100000,1,Wednesday,,,10.80000000000041,51154.34311320808,48798.265868450886,48.82140282841965
3860,2,2025-06-11 01:25:00+00:00,2025-06-11 01:28:00+00:00,long,144.872,144.90200000000002,144.822,144.90200000000002,TP hit,3.0000000000001137,1.4999999999986358,1.500000000001478,10.353967640410001,10.353967640390382,2025-06-11 01:24:00+00:00,0.49999999999954525,2.5000000000005684,3.099999999997749,1.4000000000010004,3.0,3.0,100000,1,Wednesday,,,4.900000000000659,51164.69708084849,48787.911900810475,48.81104395160203
3861,2,2025-06-11 02:07:00+00:00,2025-06-11 02:09:00+00:00,short,145.12,145.09,145.17000000000002,145.09,TP hit,3.0000000000001137,1.4000000000010004,1.5999999999991132,11.025358324139424,9.647188533634239,2025-06-11 02:06:00+00:00,0.6000000000000227,1.999999999998181,5.60000000000116,2.5000000000005684,2.0,2.0,100000,2,Wednesday,,,5.099999999998772,51175.722439172634,48776.88654248633,48.80001336577094
3862,2,2025-06-11 02:18:00+00:00,2025-06-11 02:32:00+00:00,long,145.028,144.97799999999998,144.97799999999998,145.058,SL hit,-5.000000000001137,1.9000000000005457,-6.900000000001683,-47.57701961001795,13.100918443338843,2025-06-11 02:17:00+00:00,2.600000000001046,5.000000000001137,2.200000000001978,5.299999999999727,11.0,14.0,100000,2,Wednesday,,,5.800000000002115,51128.145419562614,48824.46356209635,48.84761294330547
3863,2,2025-06-12 00:01:00+00:00,2025-06-12 00:02:00+00:00,long,144.139,144.169,144.089,144.169,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,9.019071868130922,11.794170904471313,2025-06-12 00:00:00+00:00,5.000000000001137,8.29999999999984,4.800000000000182,1.1000000000024102,1.0,1.0,100000,0,Thursday,,,7.600000000002183,51137.16449143075,48815.44449022822,48.83858959518078
