trade_id,entry_datetime,exit_datetime,equity_after
838,2024-03-29 02:08:00+00:00,2024-03-29 02:44:00+00:00,45478.33670945099
837,2024-03-29 02:05:00+00:00,2024-03-29 02:47:00+00:00,45510.550455314595
839,2024-03-29 03:30:00+00:00,2024-03-29 05:23:00+00:00,45590.1568385027
840,2024-03-29 03:34:00+00:00,2024-03-29 05:24:00+00:00,45669.7631539304
841,2024-03-29 06:00:00+00:00,2024-03-29 06:30:00+00:00,45555.66451333778
842,2024-03-29 06:10:00+00:00,2024-03-29 06:30:00+00:00,45441.56577914997
844,2024-04-01 01:39:00+00:00,2024-04-01 03:22:00+00:00,45600.537407203046
843,2024-04-01 01:35:00+00:00,2024-04-01 03:31:00+00:00,45655.16782369052
845,2024-04-01 06:39:00+00:00,2024-04-01 08:30:00+00:00,45633.234512267634
846,2024-04-02 01:00:00+00:00,2024-04-02 01:52:00+00:00,45405.21869124882
847,2024-04-02 01:03:00+00:00,2024-04-02 01:52:00+00:00,45177.20312482359
849,2024-04-03 00:03:00+00:00,2024-04-03 00:06:00+00:00,44951.16808149529
848,2024-04-03 00:00:00+00:00,2024-04-03 01:10:00+00:00,45109.21487329147
850,2024-04-03 01:00:00+00:00,2024-04-03 06:27:00+00:00,44884.60729577644
852,2024-04-04 00:55:00+00:00,2024-04-04 01:39:00+00:00,45041.63082099196
851,2024-04-04 00:52:00+00:00,2024-04-04 01:44:00+00:00,45072.47252957446
854,2024-04-04 02:00:00+00:00,2024-04-04 02:32:00+00:00,44982.49847621365
853,2024-04-04 01:39:00+00:00,2024-04-04 02:49:00+00:00,44878.50074155967
855,2024-04-04 03:30:00+00:00,2024-04-04 06:02:00+00:00,45035.64798810409
856,2024-04-04 03:33:00+00:00,2024-04-04 06:02:00+00:00,45192.795064260135
857,2024-04-04 06:15:00+00:00,2024-04-04 07:00:00+00:00,45350.896695130396
858,2024-04-04 06:56:00+00:00,2024-04-04 08:30:00+00:00,45319.910453432116
859,2024-04-04 07:25:00+00:00,2024-04-04 08:30:00+00:00,45373.64380609732
860,2024-04-08 01:00:00+00:00,2024-04-08 01:11:00+00:00,45421.38937460847
861,2024-04-08 01:03:00+00:00,2024-04-08 01:11:00+00:00,45453.27653360213
863,2024-04-08 01:26:00+00:00,2024-04-08 01:42:00+00:00,45361.87916306624
862,2024-04-08 01:21:00+00:00,2024-04-08 01:44:00+00:00,45275.22800613864
865,2024-04-09 00:53:00+00:00,2024-04-09 02:41:00+00:00,45305.994694863664
864,2024-04-09 00:41:00+00:00,2024-04-09 05:38:00+00:00,45237.57414132798
866,2024-04-09 03:30:00+00:00,2024-04-09 07:01:00+00:00,45092.6421706845
867,2024-04-09 05:38:00+00:00,2024-04-09 07:12:00+00:00,45005.209268883635
