trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
420,2025-11-27 01:50:00+00:00,2025-11-27 02:03:00+00:00,long,156.05626477088134,155.95626477088135,155.95626477088135,156.12626477088133,SL_Hit_10,-9.999999999999432,-151.1321140874068,-151.1321140874068,235700,PTS_Mid,2,156.0735,2.750000000000341,"B,D",2,volatile,Morning_Active,33.87589013224792,156.0226186186186,3.536652768343629,10.284831171162523,4.0,13.0,Thursday,1,13.0,False,2025-11,Thursday,60262.99745903636,39847.19182447976,39.80333281723291
421,2025-11-27 03:35:00+00:00,2025-11-27 04:32:00+00:00,long,156.05469839385194,155.95469839385194,155.95469839385194,156.12469839385193,SL_Hit_10,-9.999999999999432,-150.75403461474366,-150.75403461474366,235108,PTS_Mid,2,156.0735,2.6499999999998636,"C,D",2,volatile,Afternoon_Active,45.65602836879484,156.05501080246916,4.229158881884132,10.808052479558228,32.0,57.0,Thursday,3,57.0,False,2025-11,Thursday,60112.24342442162,39997.94585909451,39.95392091989628
422,2025-11-28 00:28:00+00:00,2025-11-28 00:37:00+00:00,short,156.31327439957366,156.33332055148608,156.41327439957365,156.24327439957366,Trailing_Stop,-2.004615191242465,-60.243222109121156,-60.243222109121156,469817,PTS_High,1,156.364,3.8000000000010914,C,1,unknown,IB_Formation_PTS,33.33333333333039,156.24104597701148,5.095384808760173,5.601978959728626,9.0,9.0,Friday,0,9.0,False,2025-11,Friday,60052.0002023125,40058.18908120363,40.01409783349546
423,2025-11-28 00:32:00+00:00,2025-11-28 00:37:00+00:00,short,156.33871634847284,156.26871634847285,156.43871634847284,156.26871634847285,TP_Hit_7,6.999999999999318,210.48685091037572,210.48685091037572,469893,PTS_High,1,156.364,1.5999999999991132,C,1,unknown,IB_Formation_PTS,52.12527964205903,156.25167676767677,7.6395796986787445,3.0577840698100545,5.0,5.0,Friday,0,5.0,True,2025-11,Friday,60262.487053222874,39847.70223029325,39.80384266125293
424,2025-11-28 00:39:00+00:00,2025-11-28 00:46:00+00:00,short,156.3156753532231,156.4156753532231,156.4156753532231,156.2456753532231,SL_Hit_10,-9.999999999999432,-301.1194363585043,-301.1194363585043,470998,PTS_High,1,156.364,3.900000000001569,"A,C",2,unknown,IB_Formation_PTS,52.12527964205903,156.26258333333334,0.0,13.162354418327027,,7.0,Friday,0,7.0,False,2025-11,Friday,59961.36761686437,40148.821666651755,40.104630661469095
425,2025-11-28 00:42:00+00:00,2025-11-28 00:47:00+00:00,short,156.35267948048494,156.45267948048493,156.45267948048493,156.28267948048494,SL_Hit_10,-9.999999999999432,-301.1198028466728,-301.1198028466728,471110,PTS_High,1,156.364,0.20000000000095497,"A,C",2,unknown,IB_Formation_PTS,52.12527964205903,156.2687054263566,0.0,11.86117249424683,,5.0,Friday,0,5.0,False,2025-11,Friday,59660.2478140177,40449.94146949843,40.40541902777004
426,2025-12-01 01:05:00+00:00,2025-12-01 01:06:00+00:00,short,155.91144921333083,155.84144921333083,156.01144921333082,155.84144921333083,TP_Hit_7,6.999999999999318,156.678342785258,156.678342785258,348814,IB_High,1,155.912,0.7999999999981355,C,1,wide,Morning_Active,28.26704545454689,155.78928282828284,23.287241642657364,3.5127583573427046,1.0,1.0,Monday,1,1.0,True,2025-12,Monday,59816.926156802954,40293.26312671317,40.24891313770371
427,2025-12-01 01:14:00+00:00,2025-12-01 01:16:00+00:00,long,155.65283129083693,155.55283129083693,155.55283129083693,155.72283129083692,SL_Hit_10,-9.999999999999432,-224.45750238205235,-224.45750238205235,349150,IB_Low,1,155.674,3.0000000000001137,"B,C",2,wide,Morning_Active,28.26704545454689,155.76912,1.3301421982532702,10.373510707592004,1.0,2.0,Monday,1,2.0,False,2025-12,Monday,59592.4686544209,40517.72062909522,40.4731235842012
428,2025-12-02 00:40:00+00:00,2025-12-02 01:03:00+00:00,short,155.6116526740688,155.7116526740688,155.7116526740688,155.5416526740688,SL_Hit_10,-9.999999999999432,-297.7709066966888,-297.7709066966888,463664,PTS_Mid,2,155.629,0.899999999998613,"B,C",2,unknown,IB_Formation_PTS,74.65564738292235,155.56634959349594,0.3281882086554333,10.100147934497272,8.0,23.0,Tuesday,0,23.0,False,2025-12,Tuesday,59294.69774772422,40815.49153579191,40.770566740415184
429,2025-12-02 00:43:00+00:00,2025-12-02 01:06:00+00:00,short,155.6236580303595,155.7236580303595,155.7236580303595,155.55365803035951,SL_Hit_10,-9.999999999999432,-297.77042606433764,-297.77042606433764,463699,PTS_Mid,2,155.629,0.30000000000143245,"B,C",2,unknown,IB_Formation_PTS,74.65564738292235,155.56999242424243,1.5287238377254653,11.906585618064014,5.0,23.0,Tuesday,0,23.0,False,2025-12,Tuesday,58996.92732165988,41113.261961856246,41.06800941652584
