trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,entry_hour_utc
40,D,2025-11-20,Thursday,short,2025-11-20 08:33:00+00:00,2025-11-20 11:29:00+00:00,157.2592525204757,157.4592525204757,157.4592525204757,157.05925252047572,156.8592525204757,20.0,-19.999999999998863,-923.9215712717408,SL_FULL,,19.999999999998863,20.47474795242863,14.92525204756987,727400,176,1,False,8
41,D,2025-11-25,Tuesday,short,2025-11-25 08:43:00+00:00,2025-11-25 11:39:00+00:00,156.52622981364792,156.51622981364793,156.51622981364793,156.32622981364793,156.1262298136479,20.0,10.499999999998977,481.4268812008769,BE_STOP,45.79999999999984,13.399999999998613,2.177018635208583,38.22298136479105,716800,176,1,False,8
42,A,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,11.281480690888657,258.45134160690344,HARD_CLOSE,45.79999999999984,13.399999999998613,9.743187467387315,28.056812532611275,358100,239,2,False,9
43,A,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587182,-41.978402514958745,HARD_CLOSE,58.19999999999936,13.399999999998613,13.343455978434804,1.9565440215643548,360900,234,1,False,9
44,A,2025-12-02,Tuesday,long,2025-12-02 08:27:00+00:00,2025-12-02 13:00:00+00:00,155.92580224599936,155.99824668158277,155.52580224599936,156.32580224599937,156.72580224599938,40.0,7.244443558340663,167.04202793086787,HARD_CLOSE,37.79999999999859,7.800000000000296,3.3802245999368097,16.019775400064873,359700,273,1,False,8
45,D,2025-12-03,Wednesday,short,2025-12-03 09:01:00+00:00,2025-12-03 13:00:00+00:00,155.62956812532613,155.42875331841722,155.61956812532614,155.48513625065226,155.3407043759784,14.44318746738702,17.262334079138952,1106.2385856578985,TP1_PARTIAL,30.299999999999727,6.999999999999318,5.343187467386201,26.756812532613594,996200,239,1,False,9
46,A,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,489.66266685559776,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,362300,289,1,False,8
48,D,2025-12-09,Tuesday,short,2025-12-09 09:16:00+00:00,2025-12-09 12:41:00+00:00,156.13768190346042,156.316,156.316,155.95936380692083,155.78104571038125,17.83180965395843,-17.83180965395843,-939.410888842778,SL_FULL,45.599999999998886,10.200000000000387,18.031809653959385,15.968190346040956,823500,205,2,False,9
47,A,2025-12-09,Tuesday,long,2025-12-09 08:05:00+00:00,2025-12-09 13:00:00+00:00,156.28437484378267,156.34424668158277,155.88437484378267,156.68437484378268,157.08437484378268,40.0,5.987183780010241,140.69538006446416,HARD_CLOSE,45.599999999998886,10.200000000000387,30.637484378266322,14.962515621732564,367400,295,1,False,8
49,D,2025-12-11,Thursday,short,2025-12-11 08:31:00+00:00,2025-12-11 13:00:00+00:00,155.88824054741497,155.5997533184172,155.87824054741498,155.68824054741498,155.48824054741496,20.0,24.42436144988704,1140.586322962483,TP1_PARTIAL,,14.19999999999959,14.575945258502543,36.824054741495615,726800,269,1,False,8
50,D,2025-12-16,Tuesday,short,2025-12-16 08:23:00+00:00,2025-12-16 13:00:00+00:00,154.7971301625263,154.62075331841723,154.7871301625263,154.62226032505257,154.44739048757884,17.486983747372165,17.562334079138964,949.097377548316,TP1_PARTIAL,43.80000000000166,9.600000000000364,13.686983747371073,19.51301625262829,835600,277,1,False,8
51,D,2025-12-23,Tuesday,short,2025-12-23 09:01:00+00:00,2025-12-23 10:37:00+00:00,155.84756812532612,156.0475681253261,156.0475681253261,155.64756812532613,155.44756812532611,20.0,-19.999999999998863,-952.1455655154002,SL_FULL,,16.30000000000109,19.843187467387224,19.756812532611434,742900,96,1,False,9
52,D,2026-01-13,Tuesday,short,2026-01-13 09:36:00+00:00,2026-01-13 13:00:00+00:00,158.8163424652293,158.90575331841723,159.0163424652293,158.6163424652293,158.4163424652293,20.0,-8.94108531879283,-421.7181131892056,HARD_CLOSE,,11.7999999999995,12.965753477070052,1.334246522930016,749500,204,1,False,9
54,D,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 12:00:00+00:00,158.93825842487465,158.53825842487464,158.92825842487466,158.73825842487466,158.53825842487464,20.0,30.00133922592713,1412.4409806491972,TP2_FULL,37.10000000000093,17.599999999998772,14.974157512534703,80.22584248746512,746700,205,2,False,8
53,A,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.424833478597364,904.6790337168081,TP1_PARTIAL,37.10000000000093,17.599999999998772,14.974157512534703,80.22584248746512,373300,265,1,False,8
55,D,2026-01-15,Thursday,short,2026-01-15 09:16:00+00:00,2026-01-15 13:00:00+00:00,158.44568190346044,158.60875331841723,158.64568190346043,158.24568190346045,158.04568190346043,20.0,-16.307141495678934,-784.2623608503892,HARD_CLOSE,50.80000000000098,16.100000000000136,16.03180965395552,14.268190346044207,762800,224,1,False,9
56,D,2026-01-22,Thursday,short,2026-01-22 09:12:00+00:00,2026-01-22 13:00:00+00:00,158.6896143716629,158.83275331841722,158.888,158.49122874332582,158.29284311498873,19.83856283370926,-14.31389467543056,-688.4212427295074,HARD_CLOSE,,12.5,13.838562833709034,15.361437166291125,763900,228,1,False,9
57,D,2026-01-27,Tuesday,short,2026-01-27 09:28:00+00:00,2026-01-27 09:52:00+00:00,154.58603456296274,154.18603456296273,154.57603456296275,154.38603456296275,154.18603456296273,20.0,29.999999999999716,1425.1943748122053,TP2_FULL,,14.900000000000091,2.796543703726684,132.90345629627325,732800,24,1,False,9
58,A,2026-02-03,Tuesday,long,2026-02-03 09:16:00+00:00,2026-02-03 13:00:00+00:00,155.70231809653956,155.86724668158277,155.30231809653955,156.10231809653956,156.50231809653957,40.0,16.49285850432136,396.37736132852336,HARD_CLOSE,32.30000000000075,9.499999999999886,9.031809653956202,28.268190346045685,374600,224,1,False,9
59,D,2026-02-05,Thursday,short,2026-02-05 08:25:00+00:00,2026-02-05 09:19:00+00:00,157.01616696302813,157.194,157.194,156.83833392605626,156.6605008890844,17.78330369718617,-17.78330369718617,-965.222254948614,SL_FULL,50.900000000001455,10.799999999997567,17.883303697186648,1.4166963028117152,853200,54,1,False,8
60,D,2026-02-10,Tuesday,short,2026-02-10 09:04:00+00:00,2026-02-10 10:45:00+00:00,155.4605622334935,155.0605622334935,155.4505622334935,155.26056223349352,155.0605622334935,20.0,29.999999999999716,1438.0459442688975,TP2_FULL,,12.20000000000141,2.1437766506494427,41.05622334934935,743600,101,1,False,9
61,D,2026-02-17,Tuesday,short,2026-02-17 08:17:00+00:00,2026-02-17 10:24:00+00:00,153.0049879445465,152.99498794454652,152.99498794454652,152.80498794454653,152.6049879445465,20.0,10.498721227620461,510.3916272580674,BE_STOP,,12.199999999998568,4.501205545349762,30.49879445465251,742900,127,1,False,8
62,D,2026-02-19,Thursday,short,2026-02-19 08:36:00+00:00,2026-02-19 12:55:00+00:00,154.81325919939067,154.80325919939068,154.80325919939068,154.61325919939068,154.41325919939067,20.0,10.499999999998977,513.1084062797494,BE_STOP,,15.599999999997749,16.27408006093276,26.925919939066034,755600,259,1,False,8
63,D,2026-02-24,Tuesday,short,2026-02-24 08:52:00+00:00,2026-02-24 12:04:00+00:00,155.91914003318803,155.90914003318804,155.90914003318804,155.71914003318804,155.51914003318802,20.0,10.499999999998977,515.8026085558913,BE_STOP,,19.700000000000273,11.185996681197707,24.114003318803157,765000,192,1,False,8
64,D,2026-02-26,Thursday,short,2026-02-26 08:44:00+00:00,2026-02-26 13:00:00+00:00,155.9752216222489,156.0877533184172,156.1752216222489,155.77522162224892,155.5752216222489,20.0,-11.253169616830405,-554.6279706241476,HARD_CLOSE,53.600000000000136,15.199999999998681,17.67783777510772,5.722162224890326,769300,256,1,False,8
