trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
54,ARB,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,11.281480690888657,211.8997874777628,HARD_CLOSE,45.79999999999984,,9.743187467387315,28.056812532611275,293600,239,9
55,LMP,2025-11-25,Tuesday,short,2025-11-25 11:31:00+00:00,2025-11-25 13:00:00+00:00,156.45098442356385,156.31175331841723,156.57098442356386,156.262,155.99008,12.0,13.923110514662085,872.0217708829293,HARD_CLOSE,,43.99999999999977,7.101557643613887,15.298442356385067,979000,89,11
56,ARB,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587184,-34.51092276583059,HARD_CLOSE,58.19999999999936,,13.343455978434804,1.9565440215643548,296700,234,9
57,ARB,2025-12-02,Tuesday,long,2025-12-02 08:27:00+00:00,2025-12-02 13:00:00+00:00,155.92580224599936,155.99824668158277,155.52580224599936,156.32580224599937,156.72580224599938,40.0,7.244443558340663,137.36733906575122,HARD_CLOSE,37.79999999999859,,3.3802245999368097,16.019775400064873,295800,273,8
58,LMP,2025-12-02,Tuesday,long,2025-12-02 11:37:00+00:00,2025-12-02 13:00:00+00:00,155.9371625650342,155.99824668158277,155.8171625650342,156.086,156.28376000000003,12.0,6.108411654855672,386.0872810949842,HARD_CLOSE,,32.00000000000216,2.7162565034217323,9.483743496579677,986000,83,11
59,ARB,2025-12-03,Wednesday,short,2025-12-03 11:25:00+00:00,2025-12-03 13:00:00+00:00,155.42906616485553,155.42875331841722,155.82906616485553,155.02906616485552,154.62906616485552,40.0,0.03128464383053142,0.5963915793621741,HARD_CLOSE,30.299999999999727,,4.893383514448146,6.706616485553241,296300,95,11
60,ARB,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,399.1095377379465,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,295300,289,8
62,LMP,2025-12-09,Tuesday,short,2025-12-09 09:44:00+00:00,2025-12-09 12:00:00+00:00,156.1106383255344,156.23063832553441,156.23063832553441,155.978,155.69619200000002,12.0,-12.000000000000455,-765.0996071009981,SL_FULL,,45.599999999998886,11.636167446559398,8.163832553441353,996100,136,9
61,ARB,2025-12-09,Tuesday,long,2025-12-09 08:05:00+00:00,2025-12-09 13:00:00+00:00,156.28437484378267,156.34424668158277,155.88437484378267,156.68437484378268,157.08437484378268,40.0,5.987183780010241,114.53997870789664,HARD_CLOSE,45.599999999998886,,30.637484378266322,14.962515621732564,299100,295,8
63,LMP,2025-12-10,Wednesday,long,2025-12-10 11:12:00+00:00,2025-12-10 13:00:00+00:00,156.7429871647918,156.7042466815828,156.6229871647918,156.821,156.96932,12.0,-3.8740483209011245,-245.68761235518105,HARD_CLOSE,,24.00000000000091,6.998716479179734,3.4012835208187653,993800,108,11
64,LMP,2025-12-11,Thursday,short,2025-12-11 09:37:00+00:00,2025-12-11 12:43:00+00:00,155.90438144021763,155.607252,155.89438144021764,155.784,155.607252,12.0,20.87644021890462,1322.5298935646754,TP2_FULL,,28.600000000000136,4.6618559782359625,33.63814402176217,986100,186,9
65,LMP,2025-12-23,Tuesday,short,2025-12-23 09:44:00+00:00,2025-12-23 09:54:00+00:00,155.8666383255344,155.98663832553441,155.98663832553441,155.65,155.362012,12.0,-12.000000000000455,-768.2965751841999,SL_FULL,,46.60000000000082,11.836167446560353,0.0,998700,10,9
66,ARB,2025-12-30,Tuesday,short,2025-12-30 10:07:00+00:00,2025-12-30 13:00:00+00:00,155.8229726860917,155.96375331841722,156.2229726860917,155.4229726860917,155.0229726860917,40.0,-14.078063232551585,-268.3577504378606,HARD_CLOSE,42.00000000000159,,18.902731390829786,7.897268609170283,297300,173,10
67,LMP,2026-01-08,Thursday,long,2026-01-08 10:44:00+00:00,2026-01-08 12:37:00+00:00,156.6914459191467,156.7014459191467,156.7014459191467,156.716,156.874208,12.0,1.72763082563673,109.57007822124336,BE_STOP,,25.600000000000023,2.544591914670491,9.055408085330896,993900,113,10
68,ARB,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.42473509007477,733.5806070550426,TP1_ONLY,37.10000000000093,,14.974157512534703,80.22584248746512,302700,265,8
69,LMP,2026-01-15,Thursday,short,2026-01-15 11:22:00+00:00,2026-01-15 12:55:00+00:00,158.48708066898195,158.60708066898195,158.60708066898195,158.33,158.092688,12.0,-12.000000000000455,-766.8762295288346,SL_FULL,,38.39999999999861,11.591933101806262,2.5080668981956933,1013600,93,11
70,LMP,2026-01-22,Thursday,short,2026-01-22 10:08:00+00:00,2026-01-22 12:39:00+00:00,158.700965763029,158.690965763029,158.690965763029,158.62,158.472916,12.0,4.548288151448787,288.8488356944762,BE_STOP,,23.799999999999955,6.303423697102062,16.496576302898802,1007400,151,10
71,LMP,2026-01-27,Tuesday,short,2026-01-27 09:31:00+00:00,2026-01-27 09:31:00+00:00,154.57614730815968,154.56614730815969,154.56614730815969,154.594,154.417252,12.0,-0.39263459201634987,-24.985690295303957,BE_STOP,,28.600000000000136,0.7852691840326997,1.6147308159673912,984000,0,9
72,LMP,2026-01-28,Wednesday,long,2026-01-28 09:39:00+00:00,2026-01-28 10:48:00+00:00,152.6355416963572,152.5155416963572,152.5155416963572,152.81,153.058436,12.0,-12.000000000000455,-764.3024356958935,SL_FULL,,40.20000000000152,19.754169635720586,9.54583036428005,971400,69,9
73,LMP,2026-01-29,Thursday,long,2026-01-29 09:51:00+00:00,2026-01-29 12:12:00+00:00,153.359160361823,153.369160361823,153.369160361823,153.46,153.64540000000002,12.716036182300172,5.541485028649821,330.1017986635108,BE_STOP,,30.000000000001137,8.116036182300945,17.883963817700987,914100,141,9
74,ARB,2026-02-03,Tuesday,long,2026-02-03 09:16:00+00:00,2026-02-03 13:00:00+00:00,155.70231809653956,155.86724668158277,155.30231809653955,156.10231809653956,156.50231809653957,40.0,16.49285850432136,313.20795235782947,HARD_CLOSE,32.30000000000075,,9.031809653956202,28.268190346045685,296000,224,9
76,LMP,2026-02-05,Thursday,long,2026-02-05 11:34:00+00:00,2026-02-05 12:25:00+00:00,157.14808163843028,157.15808163843028,157.15808163843028,157.272,157.43885999999998,12.0,6.695347859436106,425.27246088043756,BE_STOP,,26.99999999999818,2.00816384302982,13.991836156972681,998900,51,11
75,ARB,2026-02-05,Thursday,long,2026-02-05 09:31:00+00:00,2026-02-05 12:47:00+00:00,157.28385269184034,156.88385269184033,156.88385269184033,157.68385269184034,158.08385269184035,40.0,-40.00000000000057,-764.6421090616226,SL_FULL,50.900000000001455,,40.185269184033245,5.514730815966118,299900,196,9
77,LMP,2026-02-11,Wednesday,long,2026-02-11 10:18:00+00:00,2026-02-11 12:35:00+00:00,153.2791692823256,153.647312,153.2891692823256,153.41,153.647312,12.0,24.94989363954389,1577.5523262661425,TP2_FULL,,38.39999999999861,8.316928232559917,38.08307176743995,971100,137,10
78,LMP,2026-02-12,Thursday,short,2026-02-12 09:43:00+00:00,2026-02-12 10:14:00+00:00,152.92560418519474,153.04560418519475,153.04560418519475,152.804,152.640848,12.0,-12.000000000000455,-771.4563291679702,SL_FULL,,26.400000000001,11.839581480526817,7.560418519474865,983900,31,9
79,LMP,2026-02-17,Tuesday,short,2026-02-17 09:51:00+00:00,2026-02-17 10:26:00+00:00,152.920839638177,153.040839638177,153.040839638177,152.7,152.40088799999998,12.0,-12.000000000000455,-765.6779737816673,SL_FULL,,48.40000000000089,14.316036182299285,6.883963817699623,976500,35,9
81,LMP,2026-02-18,Wednesday,long,2026-02-18 11:29:00+00:00,2026-02-18 12:24:00+00:00,153.70098061795105,153.71098061795104,153.71098061795104,153.79,153.92101599999998,12.0,4.950563500444734,313.5830881730925,BE_STOP,,21.19999999999891,4.498061795104036,10.301938204895578,974100,55,11
80,ARB,2026-02-18,Wednesday,long,2026-02-18 09:43:00+00:00,2026-02-18 13:00:00+00:00,153.80339581480524,153.6742466815828,153.40339581480524,154.20339581480525,154.60339581480525,40.0,-12.914913322245525,-245.7354265252545,HARD_CLOSE,64.50000000000102,,24.939581480523998,5.460418519476207,292400,197,9
82,LMP,2026-02-19,Thursday,short,2026-02-19 09:38:00+00:00,2026-02-19 13:00:00+00:00,154.8584200955688,154.81475331841722,154.8484200955688,154.706,154.507004,12.0,9.80378995860072,622.2638863649017,TP1_ONLY,,32.20000000000027,5.857990443121253,31.442009556877792,982100,202,9
83,LMP,2026-02-24,Tuesday,short,2026-02-24 11:30:00+00:00,2026-02-24 11:30:00+00:00,155.7410028429611,155.73100284296112,155.73100284296112,155.736,155.39857199999997,12.0,0.7501421480554883,47.86993446975438,BE_STOP,,54.60000000000207,0.6997157038881596,2.300284296111954,993800,0,11
84,LMP,2026-02-26,Thursday,short,2026-02-26 09:33:00+00:00,2026-02-26 12:47:00+00:00,156.0102249122732,156.1302249122732,156.1302249122732,155.918,155.75732000000002,12.0,-12.000000000000455,-765.5148134652384,SL_FULL,,25.99999999999909,13.57750877267847,9.022491227321439,996000,194,9
