cross_time,bars_narrowing_before_cross,mean_deceleration_pips_per_bar
2026-02-10 17:45:00+00:00,3,-0.4636815243818167
2026-02-10 19:55:00+00:00,0,-0.50947812752374
2026-02-10 21:45:00+00:00,0,-0.3696063227539525
2026-02-11 00:25:00+00:00,0,-0.24841977226373052
2026-02-11 07:15:00+00:00,11,-1.2342627552635579
2026-02-11 08:05:00+00:00,3,0.04194634635609875
2026-02-11 09:50:00+00:00,5,0.11011025847759963
2026-02-11 10:20:00+00:00,3,-0.32819519708685413
2026-02-11 14:55:00+00:00,0,-0.43987254478499455
2026-02-11 19:50:00+00:00,11,-0.9128441803513473
2026-02-11 22:50:00+00:00,12,-0.6638234539352084
2026-02-11 23:10:00+00:00,3,-0.07244002705912558
2026-02-11 23:50:00+00:00,0,0.08584738945955905
2026-02-12 01:00:00+00:00,2,-0.1420279260753432
2026-02-12 04:45:00+00:00,0,-0.9809553877998193
2026-02-12 07:30:00+00:00,0,-1.353465535059589
2026-02-12 10:15:00+00:00,0,-0.35756895414370626
2026-02-12 13:50:00+00:00,0,-1.3165975362502045
2026-02-12 17:45:00+00:00,0,-0.7416584210771286
2026-02-12 20:45:00+00:00,0,-0.2926320574878597
2026-02-12 23:20:00+00:00,0,-0.14081766544402777
2026-02-12 23:45:00+00:00,0,-0.024372305760935995
2026-02-13 03:15:00+00:00,1,-0.7412763888600201
2026-02-13 04:45:00+00:00,7,-0.435304227255718
2026-02-13 10:00:00+00:00,6,-0.47576378469907843
2026-02-13 10:50:00+00:00,2,-0.01561732790198295
2026-02-13 16:00:00+00:00,2,-0.3677254123067542
2026-02-13 16:25:00+00:00,0,-0.06883145103699917
2026-02-13 18:55:00+00:00,0,-0.333213311186095
2026-02-15 23:10:00+00:00,0,-0.10069648782528398
2026-02-16 06:35:00+00:00,12,-0.3602952037383981
2026-02-16 07:10:00+00:00,0,0.009426836357088561
2026-02-16 11:30:00+00:00,16,-0.5396009033204526
2026-02-16 15:00:00+00:00,8,-0.21288186705608797
2026-02-16 19:55:00+00:00,0,-0.0366470740650963
2026-02-16 21:05:00+00:00,0,-0.007353525074241437
2026-02-16 22:10:00+00:00,4,-0.018503801326043387
2026-02-17 00:10:00+00:00,0,-0.1720286969036048
2026-02-17 04:20:00+00:00,8,-0.4483105935713638
2026-02-17 07:45:00+00:00,0,-0.3501614233640756
2026-02-17 08:35:00+00:00,5,0.09960905250342952
2026-02-17 10:00:00+00:00,10,-0.6242800975028711
2026-02-17 16:45:00+00:00,11,-1.3701391731441013
2026-02-17 23:20:00+00:00,2,-0.02531702167222723
2026-02-17 23:50:00+00:00,0,0.00018335777012690974
2026-02-18 01:10:00+00:00,0,-0.3088119311566591
2026-02-18 05:55:00+00:00,3,-0.098213777719612
2026-02-18 07:20:00+00:00,4,-0.20270129059772066
2026-02-18 11:30:00+00:00,0,-0.19479458278719147
2026-02-18 12:20:00+00:00,4,0.020478274492271943
2026-02-18 13:30:00+00:00,0,-0.1650012922360133
2026-02-18 22:20:00+00:00,0,-0.193361592384728
2026-02-19 00:40:00+00:00,6,0.010087513560203348
2026-02-19 01:25:00+00:00,3,0.00727312830899034
2026-02-19 06:30:00+00:00,0,-0.0823297528323981
2026-02-19 12:50:00+00:00,0,-0.3910711155635719
2026-02-19 15:50:00+00:00,15,-0.9362222213487332
2026-02-19 18:00:00+00:00,0,-0.22269487558105538
2026-02-19 19:40:00+00:00,0,-0.15893415076732254
2026-02-19 21:40:00+00:00,12,-0.3721421851894509
2026-02-19 23:35:00+00:00,0,-0.28022255902006543
2026-02-20 01:10:00+00:00,0,-0.49026120020139763
2026-02-20 03:30:00+00:00,6,-0.03213090937776995
2026-02-20 04:40:00+00:00,0,-0.04826780405740767
2026-02-20 06:50:00+00:00,9,-0.32679859197495864
2026-02-20 08:00:00+00:00,0,0.10196161401722752
2026-02-20 10:15:00+00:00,0,-0.742370860784547
2026-02-20 13:40:00+00:00,3,0.06402011370359634
2026-02-20 15:15:00+00:00,0,-0.3476817530093967
2026-02-20 17:15:00+00:00,12,-1.1696418013158905
2026-02-20 18:00:00+00:00,0,-0.07172131593345434
2026-02-20 19:25:00+00:00,0,-0.15241121816520337
2026-02-20 20:40:00+00:00,7,-0.2777837651195606
2026-02-20 21:55:00+00:00,5,-0.07414423727245396
2026-02-23 02:55:00+00:00,0,-0.36256125332035555
2026-02-23 06:15:00+00:00,0,-0.3583801815009717
2026-02-23 07:00:00+00:00,0,-0.050056477554486875
2026-02-23 13:10:00+00:00,0,-0.3250440866370733
2026-02-23 18:05:00+00:00,0,-0.5994459681657343
