trade_id,entry_datetime,exit_datetime,equity_after
137,2025-09-08 02:00:00+00:00,2025-09-08 02:11:00+00:00,87883.82098130492
138,2025-09-08 02:15:00+00:00,2025-09-08 02:20:00+00:00,87613.79076232969
139,2025-09-08 05:35:00+00:00,2025-09-08 05:45:00+00:00,87351.09181144668
140,2025-09-08 05:40:00+00:00,2025-09-08 05:52:00+00:00,87088.39257802076
141,2025-09-09 04:55:00+00:00,2025-09-09 05:12:00+00:00,87123.57861861981
142,2025-09-09 05:05:00+00:00,2025-09-09 05:39:00+00:00,87428.55115751013
143,2025-09-09 05:25:00+00:00,2025-09-09 05:39:00+00:00,87569.03983829728
144,2025-09-09 05:35:00+00:00,2025-09-09 05:39:00+00:00,87657.26458939604
145,2025-09-09 05:40:00+00:00,2025-09-09 05:53:00+00:00,87777.83737993907
146,2025-09-09 05:50:00+00:00,2025-09-09 06:03:00+00:00,87880.7365876417
147,2025-09-10 01:30:00+00:00,2025-09-10 01:35:00+00:00,87582.62984271046
148,2025-09-10 03:30:00+00:00,2025-09-10 04:00:00+00:00,87254.41782792528
149,2025-09-10 03:35:00+00:00,2025-09-10 04:00:00+00:00,86926.20583178721
150,2025-09-10 05:55:00+00:00,2025-09-10 05:58:00+00:00,86654.83226800022
151,2025-09-11 05:55:00+00:00,2025-09-11 06:00:00+00:00,86788.1554843188
152,2025-09-11 06:00:00+00:00,2025-09-11 06:13:00+00:00,86902.23464186183
154,2025-09-11 06:20:00+00:00,2025-09-11 06:30:00+00:00,87002.82321751643
153,2025-09-11 06:15:00+00:00,2025-09-11 07:13:00+00:00,86731.93523695233
155,2025-09-12 01:45:00+00:00,2025-09-12 02:49:00+00:00,86812.6922572925
156,2025-09-12 01:50:00+00:00,2025-09-12 03:32:00+00:00,86911.66475455526
157,2025-09-12 01:55:00+00:00,2025-09-12 04:21:00+00:00,87074.3416401619
158,2025-09-12 03:35:00+00:00,2025-09-12 04:46:00+00:00,87317.63583731087
159,2025-09-12 05:55:00+00:00,2025-09-12 06:14:00+00:00,87310.81526866819
160,2025-09-12 06:05:00+00:00,2025-09-12 06:30:00+00:00,87582.03203778173
161,2025-09-15 03:35:00+00:00,2025-09-15 04:35:00+00:00,87781.56225502865
162,2025-09-15 03:40:00+00:00,2025-09-15 04:35:00+00:00,87945.20909862958
163,2025-09-15 03:50:00+00:00,2025-09-15 04:35:00+00:00,88104.65281270698
164,2025-09-15 04:35:00+00:00,2025-09-15 05:06:00+00:00,87833.40854433499
165,2025-09-15 06:25:00+00:00,2025-09-15 06:58:00+00:00,87503.81034472685
166,2025-09-16 01:25:00+00:00,2025-09-16 01:35:00+00:00,87307.67036021593
167,2025-09-16 03:30:00+00:00,2025-09-16 03:39:00+00:00,87545.69850945676
168,2025-09-16 03:35:00+00:00,2025-09-16 04:36:00+00:00,87614.57998617647
169,2025-09-18 01:10:00+00:00,2025-09-18 01:24:00+00:00,87694.29570318043
170,2025-09-18 01:15:00+00:00,2025-09-18 01:27:00+00:00,87422.27801831783
173,2025-09-18 01:50:00+00:00,2025-09-18 01:59:00+00:00,87150.25092347001
171,2025-09-18 01:25:00+00:00,2025-09-18 02:00:00+00:00,86870.56233194294
172,2025-09-18 01:45:00+00:00,2025-09-18 02:00:00+00:00,86577.50748069926
174,2025-09-18 03:30:00+00:00,2025-09-18 04:00:00+00:00,86253.06285900941
175,2025-09-18 03:35:00+00:00,2025-09-18 04:00:00+00:00,85928.61820972394
176,2025-09-18 03:50:00+00:00,2025-09-18 04:16:00+00:00,85914.12413025714
177,2025-09-19 03:30:00+00:00,2025-09-19 03:47:00+00:00,85656.52133728589
178,2025-09-19 03:40:00+00:00,2025-09-19 03:47:00+00:00,85398.91849593693
181,2025-09-22 03:35:00+00:00,2025-09-22 04:13:00+00:00,85129.19961274642
179,2025-09-22 02:15:00+00:00,2025-09-22 04:58:00+00:00,85000.19509471412
